"species_harmonized","usageKey"
"Ennomos fuscantaria","GBIF:4524421"
"Ligdia adustata","GBIF:1962636"
"Horisme tersata","GBIF:1971888"
"Anthus trivialis","GBIF:2490246"
"Mallotus villosus","GBIF:5214420"
"Acrocephalus palustris","GBIF:2493136"
"Quercus macrocarpa","GBIF:2878213"
"Luscinia svecica","GBIF:4408732"
"Tholera decimalis","GBIF:1771509"
"Tallusia experta","GBIF:2138438"
"Phainopepla nitens","GBIF:2492885"
"Dumetella carolinensis","GBIF:2494936"
"Pinicola enucleator","GBIF:2494771"
"Stomias boa","GBIF:2346868"
"Eupithecia assimilata","GBIF:1982746"
"Dipturus laevis","GBIF:2420230"
"Daucus carota","GBIF:3034742"
"Coenobia rufa","GBIF:1775891"
"Amphipyra tragopoginis","GBIF:1766210"
"Tyrannus vociferans","GBIF:5229681"
"Acupalpus parvulus","GBIF:4475699"
"Malacosoma neustria","GBIF:5101745"
"Tetheella fluctuosa","GBIF:1951649"
"Dyschirius globosus","GBIF:5873524"
"Pterostichus minor","GBIF:7840196"
"Sturnella magna","GBIF:2484254"
"Morone saxatilis","GBIF:2394612"
"Phalaris arundinacea","GBIF:5289756"
"Spinus psaltria","GBIF:5231647"
"Icterus bullockii","GBIF:5229864"
"Dryobates pubescens","GBIF:9149595"
"Sebastes alutus","GBIF:2335557"
"Amblyraja radiata","GBIF:2420446"
"Herminia tarsipennalis","GBIF:5113234"
"Picus viridis","GBIF:2478523"
"Trachelipus rathkii","GBIF:2209087"
"Harpalus anxius","GBIF:5873220"
"Celastrina argiolus","GBIF:1925918"
"Cytisus scoparius","GBIF:5354656"
"Epirrita christyi","GBIF:4523556"
"Mythimna ferrago","GBIF:5772176"
"Idaea subsericeata","GBIF:5146837"
"Aythya collaris","GBIF:2498264"
"Quercus ellipsoidalis","GBIF:2879276"
"Cupido minimus","GBIF:1926260"
"Contopus virens","GBIF:5229734"
"Rhagium bifasciatum","GBIF:1149909"
"Fusitriton oregonensis","GBIF:2300808"
"Podiceps cristatus","GBIF:2482054"
"Populus tremuloides","GBIF:3040215"
"Synodus foetens","GBIF:5212651"
"Alosa sapidissima","GBIF:2412661"
"Hippoglossus stenolepis","GBIF:2409216"
"Bathyporeia guilliamsoniana","GBIF:2216108"
"Bembidion lunulatum","GBIF:5872111"
"Cosmia pyralina","GBIF:1769505"
"Burhinus oedicnemus","GBIF:2482100"
"Centropristis philadelphica","GBIF:2387479"
"Phasianus colchicus","GBIF:9752149"
"Larus glaucescens","GBIF:2481196"
"Notiophilus biguttatus","GBIF:9364935"
"Lanius excubitor","GBIF:9444556"
